ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.02394,0.11013,9.75877,8.0,57.2825,,,,NaN,,,,0 / 0,53024,2022-03-18 12:16:27:930
0.02873,0.11013,9.75877,8.0,53.6068,,,,NaN,,,,0 / 0,53524,2022-03-18 12:16:28:430
0.01437,0.11492,9.77792,8.0,56.6136,,,,NaN,,,,0 / 0,54023,2022-03-18 12:16:28:929
0.05267,0.12929,9.79707,8.0,58.9025,,,,NaN,,,,0 / 0,54523,2022-03-18 12:16:29:429
0.02873,0.11971,9.78271,8.0,54.2575,,,,NaN,,,,0 / 0,55023,2022-03-18 12:16:29:929
0.02873,0.07661,9.77313,8.0,59.4578,,,,NaN,,,,0 / 0,55524,2022-03-18 12:16:30:430
0.02873,0.10056,9.77792,8.0,52.4374,,,,NaN,,,,0 / 0,56024,2022-03-18 12:16:30:930
0.03831,0.10056,9.78271,8.0,53.525,,,,NaN,,,,0 / 0,56524,2022-03-18 12:16:31:430
0.03831,0.11013,9.76834,8.0,42.4662,,,,NaN,,,,0 / 0,57024,2022-03-18 12:16:31:930
0.02873,0.10534,9.77792,8.0,46.7063,,,,NaN,,,,0 / 0,57524,2022-03-18 12:16:32:430
0.04788,0.06704,9.77792,8.0,63.3381,,,,NaN,,,,0 / 0,58024,2022-03-18 12:16:32:930
0.05267,0.10534,9.78271,8.0,55.8059,,,,NaN,,,,0 / 0,58524,2022-03-18 12:16:33:430
0.02394,0.1245,9.79229,8.0,63.4223,,,,NaN,,,,0 / 0,59024,2022-03-18 12:16:33:930
0.02394,0.11971,9.76355,8.0,62.1512,,,,NaN,,,,0 / 0,59524,2022-03-18 12:16:34:430
0.03831,0.12929,9.78271,8.0,55.6325,,,,NaN,,,,0 / 0,60024,2022-03-18 12:16:34:930
0.01437,0.14365,9.79707,8.0,46.2572,,,,NaN,,,,0 / 0,60524,2022-03-18 12:16:35:430
0.01915,0.11013,9.77313,8.0,47.4109,,,,NaN,,,,0 / 0,61024,2022-03-18 12:16:35:930
0.02394,0.10534,9.76355,8.0,52.7478,,,,NaN,,,,0 / 0,61524,2022-03-18 12:16:36:430
0.06225,0.11013,9.75398,8.0,53.222,,,,NaN,,,,0 / 0,62024,2022-03-18 12:16:36:930
0.02394,0.11013,9.77792,8.0,55.7181,,,,NaN,,,,0 / 0,62524,2022-03-18 12:16:37:430
0.03352,0.11971,9.77313,8.0,51.9114,,,,NaN,,,,0 / 0,63024,2022-03-18 12:16:37:930
0.06225,0.09098,9.77313,8.0,44.9134,,,,NaN,,,,0 / 0,63524,2022-03-18 12:16:38:430
0.02873,0.09098,9.78271,8.0,50.6667,,,,NaN,,,,0 / 0,64024,2022-03-18 12:16:38:930
0.02873,0.09577,9.77313,8.0,44.0009,,,,NaN,,,,0 / 0,64524,2022-03-18 12:16:39:430
0.04788,0.09098,9.77313,8.0,58.0586,,,,NaN,,,,0 / 0,65024,2022-03-18 12:16:39:930
0.01915,0.11971,9.79707,8.0,66.388,,,,NaN,,,,0 / 0,65524,2022-03-18 12:16:40:430
